prefecture,municipality,url,system_type,kaigiroku_tenant
宮城県,登米市議会,https://www.city.tome.miyagi.dbsr.jp/index.php/,dbsr,
宮城県,栗原市議会,https://www.city.kurihara.miyagi.dbsr.jp/index.php/,dbsr,
宮城県,東松島市議会,https://ssp.kaigiroku.net/tenant/higashimatsushima/SpMinuteSearch.html,kaigiroku_ssp,higashimatsushima
宮城県,大崎市議会,https://ssp.kaigiroku.net/tenant/oosaki/SpMinuteSearch.html,kaigiroku_ssp,oosaki
宮城県,大河原町議会,https://www.town.ogawara.miyagi.dbsr.jp/index.php/,dbsr,
宮城県,美里町議会,https://www.town.misato.miyagi.dbsr.jp/index.php/,dbsr,
宮城県,女川町議会,https://www.town.onagawa.miyagi.dbsr.jp/index.php/,dbsr,
秋田県,秋田県議会,https://ssp.kaigiroku.net/tenant/prefakita/SpMinuteSearch.html,kaigiroku_ssp,prefakita
秋田県,秋田市議会,https://akitashigikai.gijiroku.com/voices/g07v_search.asp,gijiroku_com,
秋田県,秋田市議会,https://akitashigikai.gijiroku.com/voices2/,gijiroku_com,
秋田県,能代市議会,https://ssp.kaigiroku.net/tenant/noshiro/SpMinuteSearch.html,kaigiroku_ssp,noshiro
秋田県,男鹿市議会,https://ssp.kaigiroku.net/tenant/oga/SpMinuteSearch.html,kaigiroku_ssp,oga
秋田県,湯沢市議会,https://ssp.kaigiroku.net/tenant/yuzawa/SpMinuteSearch.html,kaigiroku_ssp,yuzawa
秋田県,鹿角市議会,http://www.kensakusystem.jp/kazuno/index.html,kensakusystem,
秋田県,由利本荘市議会,https://ssp.kaigiroku.net/tenant/yurihonjo/SpMinuteSearch.html,kaigiroku_ssp,yurihonjo
秋田県,北秋田市議会,https://ssp.kaigiroku.net/tenant/kitaakita/SpMinuteSearch.html,kaigiroku_ssp,kitaakita
秋田県,仙北市議会,https://ssp.kaigiroku.net/tenant/semboku/SpMinuteSearch.html,kaigiroku_ssp,semboku
山形県,山形県議会,https://ssp.kaigiroku.net/tenant/prefyamagata/SpMinuteSearch.html,kaigiroku_ssp,prefyamagata
山形県,山形市議会,http://www.kensakusystem.jp/yamagata-c/index.html,kensakusystem,
山形県,鶴岡市議会,https://ssp.kaigiroku.net/tenant/tsuruoka/SpMinuteSearch.html,kaigiroku_ssp,tsuruoka
山形県,酒田市議会,https://ssp.kaigiroku.net/tenant/sakata/MinuteSearch.html,kaigiroku_ssp,sakata
山形県,寒河江市議会,https://www.city.sagae.yamagata.jp/shigikai/gijiroku/search.html,other,
山形県,村山市議会,https://ssp.kaigiroku.net/tenant/murayama/SpMinuteSearch.html,kaigiroku_ssp,murayama
山形県,天童市議会,https://ssp.kaigiroku.net/tenant/tendo/SpMinuteSearch.html,kaigiroku_ssp,tendo
山形県,東根市議会,http://city.higashine.netj.jp/cgi-bin/kaigiroku/msearch.cgi,other,
山形県,河北町議会,http://db.town.kahoku.yamagata.jp/search/msearch.cgi?index=kaigiroku,other,
山形県,高畠町議会,https://www.town.takahata.yamagata.dbsr.jp/index.php/,dbsr,
